Run started at:  2/24/2009 9:35:30 AM
Event	Real Time (min)	Pulse Height (V)
0	     0.00	 0.2500	 0.0000	 0.0000
1	     0.00	 0.0480	 0.0000	 0.0000
2	     0.01	 0.0480	 0.0000	 0.0000
3	     0.01	 0.2170	 0.0000	 0.0000
4	     0.01	 0.1420	 0.0000	 0.0000
5	     0.02	 0.0590	 0.0000	 0.0000
6	     0.02	 0.1020	 0.0000	 0.0000
7	     0.02	 0.1460	 0.0000	 0.0000
8	     0.03	 0.0820	 0.0000	 0.0000
9	     0.03	 0.1920	 0.0000	 0.0000
10	     0.03	 0.1020	 0.0000	 0.0000
11	     0.04	 0.1850	 0.0000	 0.0000
12	     0.04	 0.0340	 0.0000	 0.0000
13	     0.05	 0.0270	 0.0000	 0.0000
14	     0.05	 0.0930	 0.0000	 0.0000
15	     0.05	 0.2230	 0.0000	 0.0000
16	     0.06	 0.2400	 0.0000	 0.0000
17	     0.06	 0.0180	 0.0000	 0.0000
18	     0.06	 0.0040	 0.0000	 0.0000
19	     0.07	 0.1960	 0.0000	 0.0000
20	     0.07	 0.0810	 0.0000	 0.0000
21	     0.08	 0.0820	 0.0000	 0.0000
22	     0.08	 0.6660	 0.0000	 0.0000
23	     0.08	 0.1480	 0.0000	 0.0000
24	     0.09	 0.1220	 0.0000	 0.0000
25	     0.09	 0.1180	 0.0000	 0.0000
26	     0.10	 0.0430	 0.0000	 0.0000
27	     0.10	 0.4920	 0.0000	 0.0000
28	     0.11	 0.1290	 0.0000	 0.0000
29	     0.11	 0.2310	 0.0000	 0.0000
30	     0.12	 0.0570	 0.0000	 0.0000
31	     0.12	 0.3970	 0.0000	 0.0000
32	     0.13	 0.3940	 0.0000	 0.0000
33	     0.13	 0.1650	 0.0000	 0.0000
34	     0.14	 0.3560	 0.0000	 0.0000
35	     0.14	 0.1500	 0.0000	 0.0000
36	     0.15	 0.1390	 0.0000	 0.0000
37	     0.15	 0.1140	 0.0000	 0.0000
38	     0.16	 0.0660	 0.0000	 0.0000
39	     0.16	 0.1930	 0.0000	 0.0000
40	     0.17	 0.2070	 0.0000	 0.0000
41	     0.17	 0.1610	 0.0000	 0.0000
42	     0.18	 0.0730	 0.0000	 0.0000
43	     0.18	 0.1190	 0.0000	 0.0000
44	     0.19	 0.0810	 0.0000	 0.0000
45	     0.19	 0.2270	 0.0000	 0.0000
46	     0.20	 0.1330	 0.0000	 0.0000
47	     0.20	 0.0750	 0.0000	 0.0000
48	     0.21	 0.0210	 0.0000	 0.0000
49	     0.21	 0.4260	 0.0000	 0.0000
50	     0.22	 0.1580	 0.0000	 0.0000
51	     0.22	 0.1270	 0.0000	 0.0000
52	     0.22	 0.1860	 0.0000	 0.0000
53	     0.23	 0.1560	 0.0000	 0.0000
54	     0.23	 0.1140	 0.0000	 0.0000
55	     0.24	 0.0870	 0.0000	 0.0000
56	     0.24	 0.1840	 0.0000	 0.0000
57	     0.25	 0.1420	 0.0000	 0.0000
58	     0.26	 0.1090	 0.0000	 0.0000
59	     0.26	 0.4590	 0.0000	 0.0000
60	     0.26	 0.0190	 0.0000	 0.0000
61	     0.27	 0.0580	 0.0000	 0.0000
62	     0.27	 0.3320	 0.0000	 0.0000
63	     0.28	 0.2680	 0.0000	 0.0000
64	     0.28	 0.2310	 0.0000	 0.0000
65	     0.29	 0.0730	 0.0000	 0.0000
66	     0.29	 0.5640	 0.0000	 0.0000
67	     0.30	 0.0980	 0.0000	 0.0000
68	     0.30	 0.0910	 0.0000	 0.0000
69	     0.31	 0.2170	 0.0000	 0.0000
70	     0.31	 0.4810	 0.0000	 0.0000
71	     0.32	 0.0660	 0.0000	 0.0000
72	     0.32	 0.0810	 0.0000	 0.0000
73	     0.33	 0.1380	 0.0000	 0.0000
74	     0.33	 0.3730	 0.0000	 0.0000
75	     0.34	 0.3500	 0.0000	 0.0000
76	     0.34	 0.8520	 0.0000	 0.0000
77	     0.35	 0.2040	 0.0000	 0.0000
78	     0.35	 0.0740	 0.0000	 0.0000
79	     0.36	 0.1040	 0.0000	 0.0000
80	     0.36	 0.1140	 0.0000	 0.0000
81	     0.36	 0.9240	 0.0000	 0.0000
82	     0.37	 0.1350	 0.0000	 0.0000
83	     0.37	 0.5580	 0.0000	 0.0000
84	     0.38	 0.1590	 0.0000	 0.0000
85	     0.38	 0.2480	 0.0000	 0.0000
86	     0.39	 0.1340	 0.0000	 0.0000
87	     0.39	 0.0550	 0.0000	 0.0000
88	     0.40	 0.3900	 0.0000	 0.0000
89	     0.40	 0.1110	 0.0000	 0.0000
90	     0.41	 0.1150	 0.0000	 0.0000
91	     0.41	 0.3610	 0.0000	 0.0000
92	     0.42	 0.2380	 0.0000	 0.0000
93	     0.42	 0.1590	 0.0000	 0.0000
94	     0.43	 0.2840	 0.0000	 0.0000
95	     0.43	 0.1070	 0.0000	 0.0000
96	     0.44	 0.5470	 0.0000	 0.0000
97	     0.44	 0.1440	 0.0000	 0.0000
98	     0.45	 0.2970	 0.0000	 0.0000
99	     0.45	 0.0730	 0.0000	 0.0000
100	     0.46	 0.2520	 0.0000	 0.0000
101	     0.46	 0.4170	 0.0000	 0.0000
102	     0.46	 0.0260	 0.0000	 0.0000
103	     0.47	 0.2980	 0.0000	 0.0000
104	     0.47	 0.0890	 0.0000	 0.0000
105	     0.48	 0.1880	 0.0000	 0.0000
106	     0.48	 0.0840	 0.0000	 0.0000
107	     0.49	 0.2760	 0.0000	 0.0000
108	     0.49	 0.4960	 0.0000	 0.0000
109	     0.50	 0.0500	 0.0000	 0.0000
110	     0.50	 0.1790	 0.0000	 0.0000
111	     0.51	 0.1680	 0.0000	 0.0000
112	     0.51	 0.0570	 0.0000	 0.0000
113	     0.52	 0.1840	 0.0000	 0.0000
114	     0.52	 0.0910	 0.0000	 0.0000
115	     0.53	 0.2500	 0.0000	 0.0000
116	     0.53	 0.0790	 0.0000	 0.0000
117	     0.54	 0.0410	 0.0000	 0.0000
118	     0.54	 0.0500	 0.0000	 0.0000
119	     0.55	 0.2300	 0.0000	 0.0000
120	     0.55	 0.1280	 0.0000	 0.0000
121	     0.55	 0.0840	 0.0000	 0.0000
122	     0.56	 0.1460	 0.0000	 0.0000
123	     0.56	 0.2040	 0.0000	 0.0000
124	     0.57	 0.1080	 0.0000	 0.0000
125	     0.57	 0.1580	 0.0000	 0.0000
126	     0.58	 0.0850	 0.0000	 0.0000
127	     0.58	 0.1810	 0.0000	 0.0000
128	     0.59	 0.0520	 0.0000	 0.0000
129	     0.59	 0.1060	 0.0000	 0.0000
130	     0.60	 0.4760	 0.0000	 0.0000
131	     0.60	 0.0990	 0.0000	 0.0000
132	     0.61	 0.1140	 0.0000	 0.0000
133	     0.61	 0.0340	 0.0000	 0.0000
134	     0.62	 0.0630	 0.0000	 0.0000
135	     0.62	 0.0710	 0.0000	 0.0000
136	     0.63	 0.2750	 0.0000	 0.0000
137	     0.63	 0.1040	 0.0000	 0.0000
138	     0.64	 0.1080	 0.0000	 0.0000
139	     0.64	 0.4350	 0.0000	 0.0000
140	     0.64	 0.0410	 0.0000	 0.0000
141	     0.65	 0.0980	 0.0000	 0.0000
142	     0.66	 0.1090	 0.0000	 0.0000
143	     0.66	 0.1100	 0.0000	 0.0000
144	     0.66	 0.3420	 0.0000	 0.0000
145	     0.67	 0.0870	 0.0000	 0.0000
146	     0.67	 0.1310	 0.0000	 0.0000
147	     0.68	 0.2800	 0.0000	 0.0000
148	     0.68	 0.2250	 0.0000	 0.0000
149	     0.69	 0.1160	 0.0000	 0.0000
150	     0.69	 0.0980	 0.0000	 0.0000
151	     0.70	 0.0620	 0.0000	 0.0000
152	     0.70	 0.1160	 0.0000	 0.0000
153	     0.71	 0.0610	 0.0000	 0.0000
154	     0.71	 0.1470	 0.0000	 0.0000
155	     0.72	 0.1630	 0.0000	 0.0000
156	     0.72	 0.0260	 0.0000	 0.0000
157	     0.72	 0.2180	 0.0000	 0.0000
158	     0.73	 0.0860	 0.0000	 0.0000
159	     0.73	 0.1620	 0.0000	 0.0000
160	     0.74	 0.1080	 0.0000	 0.0000
161	     0.74	 0.0470	 0.0000	 0.0000
162	     0.75	 0.2530	 0.0000	 0.0000
163	     0.75	 0.0180	 0.0000	 0.0000
164	     0.76	 0.1070	 0.0000	 0.0000
165	     0.76	 0.3160	 0.0000	 0.0000
166	     0.77	 0.3000	 0.0000	 0.0000
167	     0.77	 0.1060	 0.0000	 0.0000
168	     0.77	 0.7380	 0.0000	 0.0000
169	     0.78	 0.0470	 0.0000	 0.0000
170	     0.78	 0.0650	 0.0000	 0.0000
171	     0.79	 0.2230	 0.0000	 0.0000
172	     0.79	 0.0980	 0.0000	 0.0000
173	     0.80	 0.0120	 0.0000	 0.0000
174	     0.80	 0.0900	 0.0000	 0.0000
175	     0.81	 0.1090	 0.0000	 0.0000
